dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,name
0.053364135,0.017931934,0.021920322,0.014280627,0.003546188,0.001831516,0.094977565,0.044292156,0.003300176,0.013065274,0.044870108,0.096401349,0.012221362,0.002865185,0.012564269,0.006976684,0.017004825,0.006386854,0.00955219,0.01304633,0.023871306,0.017903874,0.008240853,0.026165042,0.013823637,0.113482229,0.021739502,0.005240921,0.012329258,0.021702059,0.026905356,0.008790073,0.007917862,0.003660413,0.008637402,0.024623968,0.044445381,0.024239602,0.013055416,0.02503629,0.046099048,0.011691423,Doha
0.053315256,0.017962033,0.02196697,0.014353273,0.003549121,0.001820502,0.094934292,0.044772595,0.003303222,0.013122438,0.045042019,0.096022606,0.012161365,0.002870361,0.012563257,0.006967287,0.016937036,0.006404596,0.009548697,0.01303615,0.023884388,0.018000703,0.008278846,0.026019249,0.013868856,0.112994611,0.021737359,0.005231878,0.012286216,0.021717845,0.02691081,0.008739829,0.007964684,0.003658596,0.008661493,0.024562469,0.044695284,0.024229264,0.012983092,0.025003711,0.046265427,0.011652308,Doha
0.053764462,0.017802397,0.021868892,0.014266396,0.00352346,0.001841297,0.093713038,0.044803664,0.003299988,0.012952324,0.045379445,0.096976563,0.012134385,0.002868528,0.012374806,0.006938767,0.016979029,0.00656704,0.00967062,0.012871607,0.024008989,0.018193301,0.008238297,0.025966233,0.013731184,0.112140931,0.022217169,0.005189457,0.012450187,0.021836422,0.027222654,0.008770933,0.00786754,0.00366933,0.008587581,0.024387879,0.04425681,0.024551688,0.013277698,0.02531413,0.045994584,0.011530388,Doha
0.053201038,0.018172432,0.022170989,0.014305795,0.003543758,0.001802429,0.093127824,0.045387823,0.003285307,0.012970669,0.045764036,0.096755683,0.012125383,0.002866379,0.012505641,0.006986519,0.017020559,0.006530049,0.009543841,0.012818978,0.023776006,0.018396638,0.008325682,0.025485624,0.013790372,0.112707898,0.022049611,0.005235711,0.012231102,0.021578982,0.026776314,0.008777804,0.008007703,0.003651311,0.008488821,0.024405994,0.04497169,0.024023058,0.013097228,0.025173426,0.046517406,0.01164656,Doha
0.053393301,0.017855057,0.022024104,0.014149748,0.003535627,0.001833649,0.094616771,0.044444125,0.003294378,0.013162381,0.045495208,0.097526245,0.012180145,0.002884922,0.012321502,0.006994117,0.016919976,0.006462061,0.009534114,0.012788305,0.024308966,0.018117448,0.008305938,0.025870802,0.013803087,0.111453012,0.022131069,0.005210046,0.012375718,0.021945557,0.026816446,0.008655359,0.008019297,0.003687261,0.008591852,0.024552174,0.044521816,0.024536414,0.013253081,0.024741095,0.046102457,0.011585402,Doha
0.053363677,0.017407807,0.021892129,0.014476095,0.003538975,0.001850523,0.095152728,0.045283645,0.003256535,0.013099339,0.044789527,0.094583876,0.0121686,0.002823994,0.012633109,0.006992525,0.016826123,0.006453543,0.009873355,0.012717536,0.024162065,0.018453199,0.008377148,0.026250083,0.013960626,0.111182928,0.022249002,0.005250321,0.012429017,0.021639718,0.027154638,0.008474461,0.008046586,0.003687895,0.008852405,0.024457637,0.044764638,0.025222732,0.013049031,0.025296276,0.046298005,0.011557928,Doha
0.053059783,0.017855328,0.022221342,0.014409883,0.003553375,0.001813267,0.093314327,0.045244936,0.003278232,0.012984454,0.045385208,0.095549479,0.012146219,0.002864799,0.012629528,0.007000781,0.016913649,0.006507386,0.00963865,0.012856307,0.02396033,0.018342061,0.008324234,0.025846332,0.013787218,0.113214493,0.022162924,0.005290273,0.012350652,0.021580214,0.026883155,0.0086692,0.007929043,0.003674181,0.008569486,0.024563223,0.044593126,0.024546562,0.012976784,0.025413008,0.046512317,0.011584307,Doha
0.053571917,0.017928615,0.021903785,0.014381789,0.003540907,0.001820598,0.094100505,0.045102432,0.003293035,0.012988325,0.045187891,0.096159659,0.012102947,0.002846953,0.012604817,0.006961526,0.01699356,0.00642581,0.009585287,0.012988044,0.023901973,0.018184641,0.008253309,0.026029499,0.013802771,0.112900749,0.021714143,0.005250326,0.012292538,0.021791672,0.02690362,0.008750575,0.007966831,0.003648106,0.008629408,0.024470927,0.044568889,0.024323614,0.012986821,0.025162131,0.046352524,0.011626543,Doha
0.053682636,0.017947424,0.022044562,0.014175476,0.003494745,0.00181088,0.093422264,0.044898413,0.00326006,0.012772135,0.045072746,0.098284811,0.012022848,0.002837917,0.012621068,0.006898981,0.017193733,0.006445681,0.009568671,0.012943178,0.023982575,0.018536877,0.008243272,0.026063969,0.013727896,0.113040388,0.021811817,0.005265575,0.012313304,0.021790588,0.027113203,0.00870395,0.007940788,0.003625531,0.008372091,0.024183797,0.043885458,0.023962488,0.013184401,0.025182022,0.046180043,0.011491658,Doha
0.052988969,0.018033205,0.022132615,0.014204938,0.003552939,0.001827434,0.094712205,0.044678282,0.003290514,0.013037966,0.04534645,0.097728662,0.012132272,0.00288482,0.012444743,0.007011096,0.017222393,0.006402844,0.009457896,0.012521495,0.0239798,0.018433632,0.008376404,0.025532648,0.013858014,0.112512127,0.021847684,0.005223635,0.012257906,0.021400403,0.026651938,0.008679967,0.008138536,0.00365915,0.008441874,0.024566144,0.044797532,0.024304969,0.013162276,0.024871938,0.046049811,0.011641837,Doha
